input,session_id,timestamp,event_type,event_type_detail,pointer_id,x,y,pressure,size,touch_major,touch_minor,raw_x,raw_y
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417704000000,move,move,0,484.35556,1277.9667,1.0,0.019607844,5.0,5.0,484.35556,1277.9667
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417704000000,move,move,1,697.6444,712.3556,1.0,0.019607844,5.0,5.0,697.6444,712.3556
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417721000000,move,move,0,480.77,1283.92,1.0,0.019607844,5.0,5.0,480.77,1283.92
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417721000000,move,move,1,701.46,708.54,1.0,0.019607844,5.0,5.0,701.46,708.54
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417738000000,move,move,0,477.84314,1290.2354,1.0,0.019607844,5.0,5.0,477.84314,1290.2354
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417738000000,move,move,1,705.15686,703.7647,1.0,0.019607844,5.0,5.0,705.15686,703.7647
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417755000000,move,move,0,475.05942,1295.9109,1.0,0.019607844,5.0,5.0,475.05942,1295.9109
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417755000000,move,move,1,708.9406,700.0594,1.0,0.019607844,5.0,5.0,708.9406,700.0594
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417771000000,move,move,0,473.12076,1300.7584,1.0,0.019607844,5.0,5.0,473.12076,1300.7584
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417771000000,move,move,1,712.7585,697.2415,1.0,0.019607844,5.0,5.0,712.7585,697.2415
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417788000000,move,move,0,472.0,1306.2852,1.0,0.019607844,5.0,5.0,472.0,1306.2852
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417788000000,move,move,1,716.52344,693.47656,1.0,0.019607844,5.0,5.0,716.52344,693.47656
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417805000000,move,move,0,470.3447,1311.966,1.0,0.019607844,5.0,5.0,470.3447,1311.966
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417805000000,move,move,1,720.3106,689.6894,1.0,0.019607844,5.0,5.0,720.3106,689.6894
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417821000000,move,move,0,467.9559,1316.0441,1.0,0.019607844,5.0,5.0,467.9559,1316.0441
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417821000000,move,move,1,724.0441,685.9559,1.0,0.019607844,5.0,5.0,724.0441,685.9559
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417838000000,move,move,0,465.61594,1319.7681,1.0,0.019607844,5.0,5.0,465.61594,1319.7681
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417838000000,move,move,1,728.15216,681.84784,1.0,0.019607844,5.0,5.0,728.15216,681.84784
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417855000000,move,move,0,463.72433,1323.5513,1.0,0.019607844,5.0,5.0,463.72433,1323.5513
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417855000000,move,move,1,733.82697,676.17303,1.0,0.019607844,5.0,5.0,733.82697,676.17303
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417871000000,move,move,0,461.8818,1327.2363,1.0,0.019607844,5.0,5.0,461.8818,1327.2363
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417871000000,move,move,1,739.35455,670.64545,1.0,0.019607844,5.0,5.0,739.35455,670.64545
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417888000000,move,move,0,459.96808,1331.0638,1.0,0.019607844,5.0,5.0,459.96808,1331.0638
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417888000000,move,move,1,744.06384,664.9042,1.0,0.019607844,5.0,5.0,744.06384,664.9042
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417905000000,move,move,0,458.09744,1334.805,1.0,0.019607844,5.0,5.0,458.09744,1334.805
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417905000000,move,move,1,749.70764,659.29236,1.0,0.019607844,5.0,5.0,749.70764,659.29236
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417921000000,move,move,0,456.22577,1338.5485,1.0,0.019607844,5.0,5.0,456.22577,1338.5485
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417921000000,move,move,1,754.54846,653.6773,1.0,0.019607844,5.0,5.0,754.54846,653.6773
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417938000000,move,move,0,454.35623,1340.6438,1.0,0.019607844,5.0,5.0,454.35623,1340.6438
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417938000000,move,move,1,758.93134,648.06866,1.0,0.019607844,5.0,5.0,758.93134,648.06866
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417955000000,move,move,0,451.4695,1343.5305,1.0,0.019607844,5.0,5.0,451.4695,1343.5305
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417955000000,move,move,1,763.061,641.40857,1.0,0.019607844,5.0,5.0,763.061,641.40857
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417971000000,move,move,0,449.60696,1345.7861,1.0,0.019607844,5.0,5.0,449.60696,1345.7861
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417971000000,move,move,1,766.7861,635.82086,1.0,0.019607844,5.0,5.0,766.7861,635.82086
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417988000000,move,move,0,447.72952,1348.2705,1.0,0.019607844,5.0,5.0,447.72952,1348.2705
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417988000000,move,move,1,770.54095,630.1886,1.0,0.019607844,5.0,5.0,770.54095,630.1886
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418004000000,move,move,0,445.84818,1350.1519,1.0,0.019607844,5.0,5.0,445.84818,1350.1519
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418004000000,move,move,1,774.30365,624.54456,1.0,0.019607844,5.0,5.0,774.30365,624.54456
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418021000000,move,move,0,443.98413,1353.0159,1.0,0.019607844,5.0,5.0,443.98413,1353.0159
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418021000000,move,move,1,778.03174,619.96826,1.0,0.019607844,5.0,5.0,778.03174,619.96826
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418038000000,move,move,0,442.13196,1355.868,1.0,0.019607844,5.0,5.0,442.13196,1355.868
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418038000000,move,move,1,779.86804,616.2639,1.0,0.019607844,5.0,5.0,779.86804,616.2639
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418054000000,move,move,0,440.2512,1358.7488,1.0,0.019607844,5.0,5.0,440.2512,1358.7488
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418054000000,move,move,1,781.74884,612.5024,1.0,0.019607844,5.0,5.0,781.74884,612.5024
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418071000000,move,move,0,437.76108,1361.6195,1.0,0.019607844,5.0,5.0,437.76108,1361.6195
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418071000000,move,move,1,783.61945,608.76105,1.0,0.019607844,5.0,5.0,783.61945,608.76105
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418087000000,move,move,0,435.51416,1364.9717,1.0,0.019607844,5.0,5.0,435.51416,1364.9717
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418087000000,move,move,1,785.48584,605.0283,1.0,0.019607844,5.0,5.0,785.48584,605.0283
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418104000000,move,move,0,432.66562,1367.6687,1.0,0.019607844,5.0,5.0,432.66562,1367.6687
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418104000000,move,move,1,787.33435,602.33124,1.0,0.019607844,5.0,5.0,787.33435,602.33124
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418154000000,move,move,0,424.10126,1376.8988,1.0,0.019607844,5.0,5.0,424.10126,1376.8988
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418154000000,move,move,1,792.9494,593.0506,1.0,0.019607844,5.0,5.0,792.9494,593.0506
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418170000000,move,move,0,420.37042,1379.8148,1.0,0.019607844,5.0,5.0,420.37042,1379.8148
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418170000000,move,move,1,793.81476,589.3704,1.0,0.019607844,5.0,5.0,793.81476,589.3704
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418187000000,move,move,0,416.61618,1383.3838,1.0,0.019607844,5.0,5.0,416.61618,1383.3838
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418187000000,move,move,1,795.0,585.61615,1.0,0.019607844,5.0,5.0,795.0,585.61615
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418204000000,move,move,0,412.798,1387.202,1.0,0.019607844,5.0,5.0,412.798,1387.202
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418204000000,move,move,1,796.0,582.79803,1.0,0.019607844,5.0,5.0,796.0,582.79803
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418220000000,move,move,0,409.0221,1389.9779,1.0,0.019607844,5.0,5.0,409.0221,1389.9779
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418220000000,move,move,1,797.48895,579.0221,1.0,0.019607844,5.0,5.0,797.48895,579.0221
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418237000000,move,move,0,405.31973,1393.6803,1.0,0.019607844,5.0,5.0,405.31973,1393.6803
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418237000000,move,move,1,798.34015,575.31976,1.0,0.019607844,5.0,5.0,798.34015,575.31976
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418254000000,move,move,0,401.5978,1396.201,1.0,0.019607844,5.0,5.0,401.5978,1396.201
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418254000000,move,move,1,800.2011,571.5978,1.0,0.019607844,5.0,5.0,800.2011,571.5978
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418270000000,move,move,0,397.80386,1400.1962,1.0,0.019607844,5.0,5.0,397.80386,1400.1962
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418270000000,move,move,1,802.0981,567.8039,1.0,0.019607844,5.0,5.0,802.0981,567.8039
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418287000000,move,move,0,394.0557,1402.9443,1.0,0.019607844,5.0,5.0,394.0557,1402.9443
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418287000000,move,move,1,803.0,564.05566,1.0,0.019607844,5.0,5.0,803.0,564.05566
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418304000000,move,move,0,390.30963,1405.6904,1.0,0.019607844,5.0,5.0,390.30963,1405.6904
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418304000000,move,move,1,804.8452,561.1548,1.0,0.019607844,5.0,5.0,804.8452,561.1548
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418320000000,move,move,0,386.53378,1408.4662,1.0,0.019607844,5.0,5.0,386.53378,1408.4662
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418320000000,move,move,1,806.7331,557.5338,1.0,0.019607844,5.0,5.0,806.7331,557.5338
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418337000000,move,move,0,382.82608,1410.5869,1.0,0.019607844,5.0,5.0,382.82608,1410.5869
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418337000000,move,move,1,807.587,554.413,1.0,0.019607844,5.0,5.0,807.587,554.413
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418353000000,move,move,0,379.01984,1413.4901,1.0,0.019607844,5.0,5.0,379.01984,1413.4901
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418353000000,move,move,1,809.49005,551.01984,1.0,0.019607844,5.0,5.0,809.49005,551.01984
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418370000000,move,move,0,375.30902,1416.3455,1.0,0.019607844,5.0,5.0,375.30902,1416.3455
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973418370000000,move,move,1,810.34546,548.309,1.0,0.019607844,5.0,5.0,810.34546,548.309
