input,session_id,timestamp,x,y,z
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639979266546,3.6137261,1.6430748,3.9263363
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536639999266546,3.641826,1.8703166,4.286747
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640019266546,3.8959458,2.1977403,4.481002
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640039266546,4.0999746,2.4274259,4.534758
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640059266546,3.9368737,2.5129468,4.4565673
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640079266546,3.4988835,2.435367,4.367992
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640099266546,3.124423,2.2606595,4.281249
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640119266546,2.8703032,1.9924897,4.150524
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640139266546,2.6552784,1.8752036,4.0026946
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640159266546,2.558151,1.8452712,3.8365393
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640179266546,2.598468,1.868484,3.5097263
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640199266546,2.6363416,1.8208365,2.9202414
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640219266546,2.1641428,1.2918273,2.3936756
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640239266546,1.5037975,0.9851729,1.7009543
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640259266546,0.8575021,0.7341073,1.2684617
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640279266546,0.55939984,0.6436992,0.72112644
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640299266546,0.5862779,0.68951416,0.17562376
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640319266546,0.7163922,0.66630125,-0.17928895
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640339266546,0.70661837,0.54290646,-0.2843578
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640359266546,0.45799622,0.46105054,-0.21960606
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640379266546,0.150731,0.4072944,-0.11209377
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640399266546,-0.032528576,0.30833423,-0.027183503
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640419266546,-0.08750644,0.14645495,0.016798794
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640439266546,-0.11804971,0.027947085,0.040011674
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640459266546,-0.1815797,-0.00992656,0.093767814
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640479266546,-0.23533584,-0.05757405,0.13041973
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640499266546,-0.2499966,-0.10949759,0.14813483
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640519266546,-0.20662516,-0.093004234,0.15974127
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640539266546,-0.111941054,-0.059406646,0.14813483
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640559266546,-0.03924809,-0.01786781,0.12308934
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640579266546,-0.05207626,0.021227567,0.074830994
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640599266546,-0.09117164,0.05665775,0.03634648
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640619266546,-0.0795652,0.04932737,0.00580322
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640639266546,-0.049021937,0.02733622,-0.028405234
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640659266546,-0.04230242,0.025503624,-0.03268129
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640679266546,-0.03313944,0.02367103,-0.014966198
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640699266546,-0.021533,-0.0013744468,0.020463986
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640719266546,-0.01786781,-0.00992656,0.07666359
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640739266546,-0.02397646,-0.00992656,0.11209377
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640759266546,-0.012980887,0.008399397,0.10903945
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640779266546,0.017562376,0.038331795,0.090713486
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640799266546,0.035888333,0.060322944,0.071776666
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640819266546,0.019394971,0.064599,0.050396383
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640839266546,-0.016035212,0.043218717,0.03573562
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640862333961,-0.027641652,0.01572978,0.01863139
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640882333961,-0.021533,0.009010263,0.013744468
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640902333961,0.0010690142,0.019394971,0.021685716
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640922333961,0.024892759,0.02367103,0.027183503
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640942333961,0.037110064,0.02733622,0.016798794
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640962333961,0.023060163,0.0053450707,0.018020526
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536640982333961,0.0096211275,-0.004428773,0.013744468
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641002333961,0.0016798794,0.020005837,0.021685716
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641022333961,-1.5271631E-4,0.045662176,0.03145956
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641042333961,0.024892759,0.031612277,0.024740042
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641062333961,0.039553523,0.03772093,0.015577064
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641082333961,0.039553523,0.060322944,0.025961773
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641102333961,0.04505131,0.048716504,0.01740966
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641122333961,0.034055736,0.024892759,-0.0033597588
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641142333961,0.02855795,0.016340645,-0.022296581
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641162333961,0.030390546,0.0053450707,-0.036957346
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641182333961,0.017562376,0.02367103,-0.035124753
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641202333961,0.0041233404,0.035277467,-0.015577064
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641222333961,0.020616703,0.0346666,-0.004581489
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641242333961,0.04810564,0.040775254,9.162979E-4
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641262333961,0.054825157,0.024892759,-0.004581489
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641282333961,0.032223143,0.010842858,-0.026572637
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641302333961,0.015118915,-1.5271631E-4,-0.04428773
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641322333961,0.0035124752,0.0041233404,-0.035124753
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641342333961,-0.0056505036,-1.5271631E-4,-0.024740042
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641362333961,-0.011148291,-0.010537425,-0.013744468
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641382333961,0.0016798794,-0.001985312,-0.004581489
